id,nome,produtor,safra,safra_inferida,is_nv,tipo,subtipo_docura,uva_principal,uvas_secundarias,pais,regiao,preco_referencia,faixa_preco_tier,preco_observado_fontes,tamanho_garrafa_ml,teor_alcoolico,imagem_rotulo_url_externa,thumbnail_url,url_origem,vivino_rating,vivino_num_ratings,acidez,tanino,corpo,frutado,docura,confianca_sensorial,confianca_tipo,confianca_uva,confianca_recuperacao,fonte_sensorial,fonte_dado_principal,origem_cadastro,categoria_produto,is_vinho,is_active,motivo_inativo,requer_revisao_editorial,requer_enriquecimento,preco_invalido_origem,preco_recuperado_pendente_review,dedup_revisao_flag,dedup_motivos,harmonizacao_categorias,harmonizacao_texto,curiosidade_educacional,codigo_barras,status_moderacao,data_ultima_observacao,created_at,updated_at,fonte_curiosidade,requer_revisao_factual,superlativo_detectado,erro_factual,requer_revisao_tipo,preco_valido
7b62098b-22e3-4fb7-a8c3-b28a06923953,Vinho Branco Francês Denis Dubourdieu Chateau Cantegril Sauternes 750ml,Denis Dubourdieu,2019.0,,0.0,sobremesa,,Semillón,Sauvignon Blanc,França,Sauternes,489.9,$$$,"[{""fonte"": ""casa_flora"", ""preco_brl"": 489.9, ""data"": ""2026-04-26T23:33:18.211650+00:00""}]",750,14.0,https://casaflora.vtexassets.com/arquivos/ids/159339-800-auto?v=638446377218570000&width=800&height=auto&aspect=true,,https://www.casaflora.com.br/511551-vinho-branco-franc-s-denis-dubourdieu-chateau-cantegril-sauternes-750ml/p,,,3.0,0.0,4.0,4.0,5.0,70.0,alto,,,v7_enrichment_llm_2026_05,casa_flora,scrape_casa_flora,vinho,True,True,,False,0.0,,,,,,"Sobremesas à base de frutas, queijos azuis, foie gras, ou simplesmente como digestivo.","Denis Dubourdieu foi um dos enólogos mais influentes de Bordeaux — professor da universidade local, pesquisou por décadas o que faz o Sauternes funcionar. O Château Cantegril, propriedade da família em Barsac, produz Semillon colhido com botrytis, o fungo que desidrata a uva e concentra açúcar e mel. Dubourdieu morreu em 2016; a família mantém o estilo que ele definiu.",,aprovado_auto,2026-04-26T23:33:18.211650+00:00,2026-04-27T14:39:50.654938+00:00,2026-04-27T14:39:50.654938+00:00,fase4_llm_2026_04_27,,,,False,True
884426ab-51d9-4848-a1a5-b7b45bb0a15d,Vinho Tinto Português Messias Quinta do Cachão Douro 375ml,Messias,2020.0,,0.0,tinto,,Touriga Franca,"Touriga Nacional, Tinta Barroca, tempranillo, Tinto Cão",Portugal,Douro,69.9,$,"[{""fonte"": ""casa_flora"", ""preco_brl"": 69.9, ""data"": ""2026-04-26T23:40:57.927307+00:00""}]",375,13.0,https://casaflora.vtexassets.com/arquivos/ids/158909-800-auto?v=638881861071000000&width=800&height=auto&aspect=true,,https://www.casaflora.com.br/610735-vinho-tinto-portugu-s-messias-quinta-do-cach-o-douro-375ml/p,,,3.0,3.0,3.0,4.0,1.0,70.0,alto,,,v7_enrichment_llm_2026_05,casa_flora,scrape_casa_flora,vinho,True,True,,False,0.0,,,,,,"Carnes vermelhas, queijos curados, massas com molhos à base de carne, charcutaria.","A Quinta do Cachão fica no Douro Superior, trecho mais quente e seco do vale. A Messias cultiva ali Touriga Franca, uva que domina o Douro em área plantada — mais do que a Touriga Nacional. Ela amadurece bem mesmo no calor extremo da região e entrega taninos menos agressivos, o que explica por que tantas quintas a usam como espinha dorsal dos blends.",,aprovado_auto,2026-04-26T23:40:57.927307+00:00,2026-04-27T14:39:50.655957+00:00,2026-04-27T14:39:50.655957+00:00,fase4_llm_2026_04_27,,,,False,True
bb06b035-555d-4dee-a260-2e5f6dbf45dd,Volpolo Bolgheri DOC 2022,Podere Sapaio,2022.0,,0.0,tinto,,Cabernet Sauvignon,"Merlot, Petit Verdot",Itália,Bolgheri,1368.0,$$$$,"[{""fonte"": ""ravin"", ""preco_brl"": 1368, ""data"": ""2026-04-27T10:48:30.335082+00:00""}]",1500,14.5,https://ravin.vteximg.com.br/arquivos/ids/159451-1000-1000/PSA00122.png?v=638835141072370000,,https://www.ravin.com.br/vinho-podere-sapaio-volpolo-doc-tinto/p,,,3.0,4.0,4.0,4.0,1.0,70.0,alto,,,v7_enrichment_llm_2026_05,ravin,scrape_ravin,vinho,True,True,,False,0.0,,,,,,"Carnes vermelhas grelhadas, cordeiro, queijos duros e maturados (Parmesão, Pecorino), pratos com cogumelos e molhos encorpados.","Bolgheri é a região da Toscana que inventou os 'Super Tuscans' — tintos fora das regras do DOC clássico italiano, com uvas francesas como Cabernet e Merlot. O Podere Sapaio fica exatamente lá, perto da costa tirena. O Volpolo é a entrada da casa: Cabernet Sauvignon com um toque de Petit Verdot, feito pra mostrar o estilo costeiro da appellation sem exigir anos de espera na garrafa.",,aprovado_auto,2026-04-27T10:48:30.335082+00:00,2026-04-27T14:39:50.680848+00:00,2026-04-27T14:39:50.680848+00:00,fase4_llm_2026_04_27,,,,False,True
e9aae521-cdaa-45b4-a3d9-835baea4bcb5,Ornellaia Bolgheri Superiore DOC,Tenuta dell'Ornellaia,2021.0,,0.0,tinto,,Cabernet Sauvignon,"Merlot, Cabernet Franc, Petit Verdot",Itália,Toscana,4237.0,$$$$$,"[{""fonte"": ""world_wine"", ""preco_brl"": 4237, ""data"": ""2026-04-26T20:39:03.155907+00:00""}]",750,15.5,https://worldwine.vtexassets.com/arquivos/ids/169054-800-auto?v=639051491852800000&width=800&height=auto&aspect=true,,https://www.worldwine.com.br/vin-it-ornellaia-tt-21-750-029145/p,,,3.0,4.0,5.0,4.0,1.0,85.0,alto,,,v7_enrichment_llm_2026_05,world_wine,scrape_world_wine,vinho,True,True,,False,0.0,,,,,,"Carnes vermelhas grelhadas, cordeiro, queijos duros e maturados (Parmesão, Pecorino), pratos com cogumelos e molhos encorpados.","O Ornellaia 2021 recebeu o tema 'La Grazia' — cada safra ganha um conceito escolhido pelo artista convidado da casa. Desde 2009, a Ornellaia comissiona obras originais ligadas ao caráter do ano: o artista interpreta a safra, e as obras viram parte do lançamento oficial. É marketing? Sim. Mas também é uma das poucas adegas italianas com curadoria artística sistemática como DNA da marca.",,aprovado_auto,2026-04-26T20:39:03.155907+00:00,2026-04-27T14:39:50.705694+00:00,2026-04-27T14:39:50.705694+00:00,fase4_llm_2026_04_27,,,,False,True
ee2954ea-d70e-458b-964a-7bcdc6128719,Clos de Los Siete By Michel Rolland 2021 375 mL,Clos de los Siete,2021.0,,0.0,tinto,,Malbec,"Merlot, Syrah, Cabernet Franc, Cabernet Sauvignon, Petit Verdot",Argentina,Valle de Uco,69.9,$,"[{""fonte"": ""wine"", ""preco_brl"": 69.9, ""data"": ""2026-04-26T17:19:55.942323+00:00""}]",375,14.5,"https://www.wine.com.br/cdn-cgi/image/f=png,h=515,q=99/assets-images/produtos/30906-01.png",,https://www.wine.com.br/vinhos/clos-de-los-siete-by-michel-rolland-2021-375-ml/prod30906.html,,,3.0,4.0,4.0,4.0,1.0,85.0,alto,,,v7_enrichment_llm_2026_05,wine,scrape_wine,vinho,True,True,,False,0.0,,,,,,"Carnes vermelhas grelhadas, churrasco, costelas, hambúrgueres gourmet, empanadas e queijos curados como o Reino.","Michel Rolland, consultor francês de Bordeaux, comprou terras no Valle de Uco nos anos 2000 com outros seis produtores — daí o 'Siete'. O Clos de los Siete é o blend coletivo dessas propriedades, tocado por Rolland como projeto principal. O Valle de Uco fica a 1.000 metros de altitude, o que dá ao Malbec acidez mais viva do que o padrão mendocino de baixa altitude.",,aprovado_auto,2026-04-26T17:19:55.942323+00:00,2026-04-27T14:39:50.689096+00:00,2026-04-27T14:39:50.689096+00:00,fase4_llm_2026_04_27,,,,False,True
71466c76-2d21-4a58-94d6-c7201ff44aea,Château Léoville-barton,Château Léoville-barton,,,0.0,tinto,,Cabernet Sauvignon,Merlot,França,Bordeaux,1890.0,$$$$$,"[{""fonte"": ""world_wine"", ""preco_brl"": 1890.0, ""data"": ""2026-04-26T20:12:10.037305+00:00""}]",750,14.0,https://worldwine.vtexassets.com/arquivos/ids/164687-800-auto?v=637950766293300000&width=800&height=auto&aspect=true,,https://www.worldwine.com.br/v-fr-chat-leoville-barton-tt-17-750-026530/p,,,3.0,4.0,4.0,3.0,1.0,85.0,alto,,,v7_enrichment_llm_2026_05,world_wine,scrape_world_wine,vinho,True,True,,False,0.0,,,,,,"Carnes vermelhas grelhadas, cordeiro, queijos duros e maturados (Parmesão, Pecorino), pratos com cogumelos e molhos encorpados.","Léoville-Barton é o único château do Médoc classificado em 1855 que não tem seu próprio chai: os vinhos são feitos e envelhecidos no Château Langoa-Barton, propriedade vizinha da mesma família irlandesa Barton. Os Barton estão em Bordeaux desde 1826 — e essa partilha de instalações entre dois châteaux classificados é única na região.",,aprovado_auto,2026-04-26T20:12:10.037305+00:00,2026-04-27T14:39:50.705694+00:00,2026-04-27T14:39:50.705694+00:00,fase4_llm_2026_04_27,,,,False,True
7bacd176-0821-44a9-b661-d8fd924c1968,"Raúl Pérez La Vizcaína ""la Poulosa""",Raúl Pérez,2020.0,,0.0,tinto,,Mencía,,Espanha,Valtuille - Bierzo,531.05,$$$$,"[{""fonte"": ""world_wine"", ""preco_brl"": 531.05, ""data"": ""2026-04-26T20:46:35.018663+00:00""}]",750,13.5,https://worldwine.vtexassets.com/arquivos/ids/165414-800-auto?v=638091281993570000&width=800&height=auto&aspect=true,,https://www.worldwine.com.br/v-es-raul-perez-tt-vizcaina-poulosa-20-750-027944/p,,,4.0,3.0,3.0,4.0,1.0,85.0,alto,,,v7_enrichment_llm_2026_05,world_wine,scrape_world_wine,vinho,True,True,,False,0.0,,,,,,"Carnes vermelhas, queijos curados, massas com molhos à base de carne, charcutaria.","Raúl Pérez é um dos nomes mais cult da Espanha — enólogo de Bierzo que virou referência internacional trabalhando parcelas minúsculas com uvas quase esquecidas. La Poulosa vem de vinha velha em Valtuille, aldeia no coração de Bierzo, com Mencía cultivada em granito. Pérez vinifica com intervenção mínima, sem filtragem, pra mostrar o terroir xistoso da parcela.",,aprovado_auto,2026-04-26T20:46:35.018663+00:00,2026-04-27T14:39:50.705694+00:00,2026-04-27T14:39:50.705694+00:00,fase4_llm_2026_04_27,,,,False,True
7cd344bd-d6b6-4153-911e-a2a692a89981,Paolo Scavino Barolo Riserva Docg Novantesimo (1500 Ml),Paolo Scavino,2011.0,,0.0,tinto,,Nebbiolo,,Itália,Piemonte,9490.5,$$$$$,"[{""fonte"": ""world_wine"", ""preco_brl"": 9490.5, ""data"": ""2026-04-27T13:05:47.936711+00:00""}]",1500,14.5,https://worldwine.vtexassets.com/arquivos/ids/167233-800-auto?v=638427424858070000&width=800&height=auto&aspect=true,,https://www.worldwine.com.br/v-it-paolo-scavino-tt-barolo-novantesimo-11-1500-027633/p,,,4.0,5.0,5.0,3.0,1.0,85.0,alto,,,v7_enrichment_llm_2026_05,world_wine,scrape_world_wine,vinho,True,True,,False,0.0,,,,,,"Risoto com trufas, ossobuco alla milanese, brasato al Barolo, queijos curados (Parmigiano), caça.","O nome 'Novantesimo' significa nonagésimo em italiano — esse Barolo Riserva foi lançado para celebrar os 90 anos da Paolo Scavino, fundada em 1921. A safra 2011 em Barolo foi quente e precoce, gerando uvas Nebbiolo com taninos maduros e colheita antecipada. A garrafa magnum de 1500ml envelhece mais lentamente, concentrando os aromas por mais tempo.",,aprovado_auto,2026-04-27T13:05:47.936711+00:00,2026-04-27T14:39:50.719799+00:00,2026-04-27T14:39:50.719799+00:00,fase4_llm_2026_04_27,,,,False,True
7cebe29e-365f-4e44-9a5d-9a513a28be12,Cava Espanhola Marqués de Tomares Don Román Brut 750ml,Marqués de Tomares,,,0.0,espumante,,MACABEO,"PARELLADA, XARELLO",Espanha,Penedes / Sant Sadurni d'Anoia,109.9,$$,"[{""fonte"": ""casa_flora"", ""preco_brl"": 109.9, ""data"": ""2026-04-26T23:31:28.369013+00:00""}]",750,11.5,https://casaflora.vtexassets.com/arquivos/ids/158967-800-auto?v=638604739212300000&width=800&height=auto&aspect=true,,https://www.casaflora.com.br/745048-cava-espanhola-marqu-s-de-tomares-don-rom-n-brut-750ml/p,,,4.0,0.0,2.0,3.0,2.0,70.0,alto,,,v7_enrichment_llm_2026_05,casa_flora,scrape_casa_flora,vinho,True,True,,False,0.0,,,,,,"Aperitivos, queijos frescos, frutos do mar, frituras, sushi, comemorações em geral.","Cava é espumante espanhol feito pelo método tradicional — mesma técnica do Champagne, com segunda fermentação na garrafa. Sant Sadurní d'Anoia, no Penedès, é o epicentro: produz mais de 90% de todo o Cava do mundo. A uva Macabeo é a base mais comum do blend, responsável pela frescura e leveza. O 'Don Román' é o nome de entrada da Marqués de Tomares nesse estilo.",,aprovado_auto,2026-04-26T23:31:28.369013+00:00,2026-04-27T14:39:50.654938+00:00,2026-04-27T14:39:50.654938+00:00,fase4_llm_2026_04_27,,,,False,True
807bfad1-4a60-49b5-9f75-570a7d966bb1,Leyda Sauvignon Blanc Reserva 2019 750 mL,Leyda,2019.0,,0.0,branco,,Sauvignon Blanc,,Chile,Vale do Leyda,105.9,$$,"[{""fonte"": ""grandcru"", ""preco_brl"": 105.9, ""data"": ""2026-04-26T16:03:42.657950+00:00""}]",750,14.0,https://www.grandcru.com.br/_next/image?url=%2Fimages%2Flogo-grand-cru-red.png&w=384&q=75,,https://www.grandcru.com.br/vinho-branco-leyda-sauvignon-blanc-reserva-2019-750-ml,,,4.0,0.0,2.0,4.0,1.0,85.0,alto,,,v7_enrichment_llm_2026_05,grandcru,scrape_grandcru,vinho,True,True,,False,0.0,,,,,,"Frutos do mar (ostras, mariscos), saladas com queijo de cabra, ceviche, sushi, espargos, peixes grelhados.","O Vale do Leyda fica a menos de 12 km do Oceano Pacífico — é um dos vales mais frios do Chile. A Viña Leyda foi pioneira na região, plantando videiras ali em 1997 quando ninguém acreditava que o terreno servia pra viticultura fina. O frio intenso preserva a acidez da Sauvignon Blanc e produz aromas que lembram mais Marlborough do que o estilo herbáceo do Vale Central chileno.",,aprovado_auto,2026-04-26T16:03:42.657950+00:00,2026-04-27T14:39:50.670117+00:00,2026-04-27T14:39:50.670117+00:00,fase4_llm_2026_04_27,,,,False,True
